-168,-132,-5,119,218,392,-135,-97,-105
-194,-177,-3,147,213,397,-135,-97,-105
-228,-250,-3,147,213,397,-137,-92,-109
-263,-363,7,133,206,402,-137,-92,-109
-265,-459,10,157,206,392,-137,-92,-109
-248,-455,14,158,199,394,-137,-92,-109
-239,-420,14,149,211,395,-135,-92,-107
-243,-398,12,153,201,400,-135,-92,-107
-218,-356,12,172,187,400,-135,-92,-107
-142,-257,10,179,182,397,-134,-92,-111
-25,-109,9,192,167,408,-134,-92,-111
144,95,10,223,122,409,-134,-92,-111
460,450,3,258,116,433,-135,-92,-107
890,1040,-24,285,142,448,-135,-92,-107
1222,1600,-33,106,277,353,-135,-92,-107
1180,1643,-38,-100,362,290,-135,-92,-107
477,867,-69,-61,614,400,-134,-91,-102
-409,-56,-20,73,135,391,-134,-91,-102
-284,-261,23,228,224,422,-134,-91,-102
196,90,-9,110,393,422,-138,-95,-102
54,209,-3,3,238,370,-138,-95,-102
-89,-35,14,210,229,414,-138,-95,-102
23,-72,9,166,281,412,-137,-95,-104
11,88,9,69,211,373,-137,-95,-104
-16,51,10,80,191,378,-137,-95,-104
12,-49,11,163,235,404,-137,-95,-104
-1,6,10,111,203,382,-138,-94,-102
5,45,7,99,221,387,-138,-94,-102
11,-5,5,127,242,401,-138,-94,-102
-13,-15,7,132,206,390,-137,-96,-103
-3,27,5,107,224,393,-137,-96,-103
11,21,6,107,237,398,-137,-96,-103
-4,-22,11,140,214,389,-135,-90,-101
2,-17,11,134,225,392,-135,-90,-101
13,18,7,114,228,400,-135,-90,-101
6,17,7,108,223,392,-137,-93,-103
2,-10,9,133,227,396,-137,-93,-103
-1,0,11,121,225,396,-137,-93,-103
-3,13,14,117,223,391,-137,-93,-103
-5,-4,14,129,226,391,-137,-92,-102
-9,-3,11,133,221,394,-137,-92,-102
-8,22,8,125,221,394,-137,-92,-102
-6,30,2,125,224,391,-135,-94,-102
-9,24,-2,125,223,396,-135,-94,-102
-14,32,-1,118,225,399,-135,-94,-102
-17,35,-1,119,226,389,-139,-94,-101
-22,22,-1,129,224,390,-139,-94,-101
-25,23,-4,134,223,394,-139,-94,-101
-23,42,-8,130,224,391,-139,-94,-101
-23,53,-13,125,219,392,-137,-97,-102
-19,50,-16,121,219,392,-137,-97,-102
-15,39,-17,125,220,394,-137,-97,-102
-16,33,-20,127,217,391,-137,-92,-101
-12,44,-23,124,218,397,-137,-92,-101
0,54,-24,113,220,396,-137,-92,-101
4,35,-23,123,223,392,-138,-93,-102
4,18,-19,128,219,395,-138,-93,-102
10,27,-20,123,219,396,-138,-93,-102
20,32,-19,111,222,393,-136,-94,-102
24,11,-18,121,218,392,-136,-94,-102
29,-7,-17,129,219,396,-136,-94,-102
40,4,-20,121,219,397,-136,-94,-102
47,3,-21,120,216,389,-137,-93,-102
54,-20,-26,134,218,395,-137,-93,-102
67,-12,-33,130,221,400,-137,-93,-102
77,12,-35,113,226,391,-135,-90,-102
76,-2,-35,120,227,397,-135,-90,-102
71,-24,-33,122,222,400,-135,-90,-102
74,-20,-32,122,222,388,-138,-93,-101
79,-7,-35,122,235,402,-138,-93,-101
69,11,-33,106,230,394,-138,-93,-101
56,10,-27,100,220,389,-138,-93,-101
61,-25,-21,115,222,394,-137,-89,-103
76,-37,-15,110,222,393,-137,-89,-103
88,-32,-15,115,227,390,-137,-89,-103
94,-46,-17,134,232,393,-140,-98,-100
92,-30,-20,133,228,390,-140,-98,-100
88,-1,-21,112,243,396,-140,-98,-100
73,-4,-17,117,240,392,-139,-94,-102
48,-13,-9,120,233,392,-139,-94,-102
37,-14,-5,128,229,398,-139,-94,-102
37,-12,-6,123,231,387,-138,-93,-102
36,-7,-10,127,232,383,-138,-93,-102
28,-5,-14,139,231,395,-138,-93,-102
18,20,-22,119,225,385,-138,-93,-102
0,25,-29,131,203,394,-135,-89,-102
23,37,-42,136,226,413,-135,-89,-102
63,76,-46,83,264,363,-135,-89,-102
36,17,-35,123,214,379,-139,-94,-104
50,-22,-31,131,226,397,-139,-94,-104
79,-9,-36,129,235,394,-139,-94,-104
86,4,-45,124,227,389,-138,-91,-102
97,9,-49,113,239,389,-138,-91,-102
93,1,-51,113,229,387,-138,-91,-102
95,-17,-50,122,223,400,-138,-91,-102
121,-16,-49,108,235,392,-138,-90,-104
153,-21,-54,82,243,397,-138,-90,-104
161,-89,-82,111,222,364,-138,-90,-104
169,-166,-107,184,230,397,-138,-91,-101
192,-64,-116,107,229,381,-138,-91,-101
212,9,-108,108,221,393,-138,-91,-101
230,4,-95,83,245,381,-139,-89,-103
219,-52,-92,88,255,387,-139,-89,-103
192,-104,-89,136,191,402,-139,-89,-103
253,-60,-96,111,225,385,-139,-89,-103
347,-47,-102,99,230,375,-137,-93,-103
410,-98,-103,117,210,392,-137,-93,-103
489,-124,-109,105,221,383,-137,-93,-103
585,-138,-116,99,233,379,-137,-92,-102
653,-187,-119,103,235,382,-137,-92,-102
704,-230,-122,115,235,377,-137,-92,-102
768,-247,-131,117,241,371,-138,-92,-100
832,-262,-147,123,247,369,-138,-92,-100
894,-278,-167,128,257,373,-138,-92,-100
951,-307,-191,119,276,373,-138,-94,-102
1009,-383,-231,128,297,365,-138,-94,-102
1094,-481,-278,155,350,360,-138,-94,-102
1206,-487,-287,153,437,330,-138,-94,-102
1161,-539,-273,-184,525,209,-138,-96,-100
879,-1199,-338,20,460,281,-138,-96,-100
614,-1843,-509,317,407,412,-138,-96,-100
664,-1404,-683,342,732,449,-137,-96,-105
545,-558,-730,113,598,301,-137,-96,-105
172,-461,-697,210,475,332,-137,-96,-105
34,-642,-641,396,499,428,-133,-93,-106
18,-347,-584,115,360,291,-133,-93,-106
76,-158,-565,94,302,282,-133,-93,-106
252,-318,-570,147,288,300,-133,-93,-106
499,-412,-596,153,315,306,-130,-88,-112
